line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang3.text.ExtendedMessageFormat#int#readArgumentIndex#?,String,ParsePosition#317	0.25	0.25	0.5	(Integer.parseInt(result.toString()))== 0	_
org.apache.commons.lang3.text.StrMatcher$TrimMatcher#?#TrimMatcher#?#417	0.3333333333333333	0.0	0.3333333333333333		_
org.apache.commons.lang3.text.StrMatcher$NoMatcher#?#NoMatcher#?#389	0.3333333333333333	0.0	0.3333333333333333		_
org.apache.commons.lang3.text.ExtendedMessageFormat#Format#getFormat#?,String#279	0.25	0.0	0.25		_
org.apache.commons.lang3.text.ExtendedMessageFormat#void#applyPattern#?,String#207	0.25	0.0	0.25		_
org.apache.commons.lang3.text.ExtendedMessageFormat#String#insertFormats#?,String,ArrayList<String>#408	0.25	0.0	0.25		_
org.apache.commons.lang3.text.ExtendedMessageFormat#void#seekNonWs#?,String,ParsePosition#421	0.25	0.0	0.25		_
org.apache.commons.lang3.text.ExtendedMessageFormat#String#parseFormatDescription#?,String,ParsePosition#347	0.25	0.0	0.25		_
org.apache.commons.lang3.text.ExtendedMessageFormat#boolean#containsElements#?,Collection<?>#499	0.25	0.0	0.25		_
org.apache.commons.lang3.text.ExtendedMessageFormat#ParsePosition#next#?,ParsePosition#433	0.25	0.0	0.25		_
org.apache.commons.lang3.text.StrMatcher$CharSetMatcher#?#CharSetMatcher#?,char#285	0.2	0.0	0.2		_
org.apache.commons.lang3.Validate#void#isTrue#?,boolean#176	0.2	0.0	0.2		_
org.apache.commons.lang3.text.ExtendedMessageFormat#?#ExtendedMessageFormat#?,String,Locale,Map<String,? extends FormatFactory>#127	0.14285714285714285	0.0	0.14285714285714285		_
org.apache.commons.lang3.text.StrMatcher#int#isMatch#?,char[],int#267	0.058823529411764705	0.058823529411764705	0.11764705882352941	(isMatch(buffer,pos,0,buffer.length))<= 0	_
org.apache.commons.lang3.text.StrMatcher$CharSetMatcher#int#isMatch#?,char[],int,int,int#300	0.03571428571428571	0.0	0.03571428571428571		_
org.apache.commons.lang3.text.StrMatcher$CharMatcher#?#CharMatcher#?,char#318	0.022727272727272728	0.0	0.022727272727272728		_
org.apache.commons.lang3.text.StrMatcher#?#StrMatcher#?#216	0.018867924528301886	0.0	0.018867924528301886		_
org.apache.commons.lang3.text.StrMatcher#StrMatcher#splitMatcher#?#108	0.017543859649122806	0.0	0.017543859649122806		_
