id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula
2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6	22.0	12.0	22.0	22.0	22.0	12.0	22.0	22.0	22.0	12.0	22.0	22.0	22.0	12.0	22.0	22.0	22.0	12.0	22.0	22.0
8	3.0	27.0	3.0	3.0	3.0	27.0	3.0	3.0	3.0	27.0	3.0	3.0	3.0	27.0	3.0	3.0	3.0	27.0	3.0	3.0
9	15.0	17.0	15.0	15.0	10.0	17.0	10.0	10.0	13.0	17.0	13.0	13.0	6.0	17.0	6.0	6.0	15.0	17.0	15.0	15.0
10	16.0	21.0	16.0	16.0	13.0	21.0	13.0	13.0	13.0	21.0	13.0	13.0	12.0	21.0	12.0	12.0	16.0	21.0	16.0	16.0
11	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
12	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0
13	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0
14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
15	4.0	27.0	4.0	4.0	2.0	27.0	2.0	2.0	2.0	27.0	2.0	2.0	2.0	27.0	2.0	2.0	4.0	27.0	4.0	6.0
17	4.0	13.0	4.0	4.0	4.0	13.0	4.0	4.0	4.0	13.0	4.0	4.0	4.0	13.0	4.0	4.0	4.0	13.0	4.0	4.0
18	3.0	28.0	3.0	3.0	3.0	28.0	3.0	3.0	3.0	28.0	3.0	3.0	3.0	28.0	3.0	3.0	3.0	28.0	3.0	3.0
19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
20	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0
21	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
22	4.0	1.0	4.0	3.0	3.0	1.0	3.0	1.0	3.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	4.0	1.0
23	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
26	17.0	11.0	17.0	17.0	17.0	11.0	17.0	17.0	17.0	11.0	17.0	17.0	17.0	11.0	17.0	17.0	17.0	11.0	17.0	17.0
28	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
29	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0
30	3.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	3.0	3.0	2.0	3.0	2.0
31	2.0	3.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	3.0	2.0	2.0
32	6.0	11.0	6.0	7.0	6.0	11.0	6.0	7.0	6.0	11.0	6.0	9.0	6.0	11.0	6.0	10.0	6.0	11.0	6.0	10.0
33	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
34	39.0	45.0	39.0	39.0	18.0	45.0	18.0	18.0	20.0	45.0	20.0	20.0	4.0	45.0	4.0	4.0	39.0	45.0	39.0	39.0
35	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
37	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
38	2.0	15.0	2.0	2.0	2.0	15.0	2.0	2.0	2.0	15.0	2.0	2.0	2.0	15.0	2.0	3.0	2.0	15.0	2.0	3.0
39	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
40	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
41	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
42	3.0	11.0	3.0	3.0	3.0	11.0	3.0	3.0	3.0	11.0	3.0	3.0	3.0	11.0	3.0	3.0	3.0	11.0	3.0	3.0
