line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.util.FastMath#void#buildSinCosTables#?#1550	0.0	0.0	0.0	(i & 1) == 0	_
org.apache.commons.math.util.FastMath#double#ulp#?,double#3044	0.0	0.0	0.0	abs(x - Double.longBitsToDouble(Double.doubleToLongBits(x) ^ 1))>=0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#int#getEvaluations#?#65	0.0	0.0	0.0	evaluations.getCount()>=0	_
org.apache.commons.math.util.FastMath#void#resplit#?,double#738	0.0	0.0	0.0	c * 9.31322574615478515625E-10<=d	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#UnivariateRealPointValuePair#optimize#?,UnivariateRealFunction,GoalType,double,double,double#130	0.0	0.0	0.0	startValue!=max	_
org.apache.commons.math.util.FastMath#double[]#slowLog#?,double#1434	0.0	0.0	0.0	a[1]<=xi	_
org.apache.commons.math.util.FastMath#void#quadMult#?,double,double,double#840	0.0	0.0	0.0	result[1] - (tmp - result[0] - zs[0])<tmp	_
org.apache.commons.math.util.FastMath#double#slowCos#?,double,double#1494	0.0	0.0	0.0	ys[1]=0.0<x	_
org.apache.commons.math.util.FastMath#double#max#?,double,double#3260	0.0	0.0	0.0	(a <= b) ? b : (Double.isNaN(a + b) ? Double.NaN : a)<=0	_
org.apache.commons.math.util.FastMath#void#split#?,double,double#717	0.0	0.0	0.0	d - split[0]<=d	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getStartValue#?#90	0.0	0.0	0.0	searchStart<0	_
org.apache.commons.math.util.FastMath#double#slowSin#?,double,double#1453	0.0	0.0	0.0	!(i >= 0)	_
org.apache.commons.math.util.FastMath#void#splitReciprocal#?,double,double#789	0.0	0.0	0.0	1.0 - b>=b	_
org.apache.commons.math.util.Incrementor#int#getMaximalCount#?#53	0.0	0.0	0.0	maximalCount>=0	_
org.apache.commons.math.util.FastMath#double#sqrt#?,double#219	0.0	0.0	0.0	Math.sqrt(a)!=0	_
org.apache.commons.math.optimization.univariate.UnivariateRealPointValuePair#double#getValue#?#65	0.0	0.0	0.0	value!=0	_
org.apache.commons.math.util.FastMath#double#abs#?,double#3034	0.0	0.0	0.0	(x < 0.0) ? -x : x>=0	_
org.apache.commons.math.util.FastMath#double#slowexp#?,double,double#687	0.0	0.0	0.0	!(i >= 0)	_
org.apache.commons.math.util.Incrementor#void#incrementCount#?#84	0.0	0.0	0.0	!(++count > maximalCount)	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#computeObjectiveValue#?,double#110	0.0	0.0	0.0	function.value(point)!=0	_
org.apache.commons.math.util.Incrementor#int#getCount#?#62	0.0	0.0	0.0	count>0	_
org.apache.commons.math.util.FastMath#double#expint#?,int,double#913	0.0	0.0	0.0	ys[0] + ys[1]!=0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getMin#?#78	0.0	0.0	0.0	searchMin!=0	_
org.apache.commons.math.optimization.univariate.BrentOptimizer#UnivariateRealPointValuePair#doOptimize#?#233	0.0	0.0	0.0	fu>u	_
org.apache.commons.math.util.FastMath#long#abs#?,long#3016	0.0	0.0	0.0	(x < 0l) ? -x : x<=0	_
org.apache.commons.math.optimization.univariate.UnivariateRealPointValuePair#double#getPoint#?#56	0.0	0.0	0.0	point<0	_
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#double#getMax#?#84	0.0	0.0	0.0	searchMax!=0	_
org.apache.commons.math.optimization.univariate.UnivariateRealPointValuePair#?#UnivariateRealPointValuePair#?,double,double#46	0.0	0.0	0.0	point!=value	_
org.apache.commons.math.optimization.univariate.BrentOptimizer#?#BrentOptimizer#?,double,double#80	0.0	0.0	0.0	!(abs <= 0)	_
org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizer#UnivariateRealPointValuePair#optimize#?,FUNC,GoalType,double,double,double#158	0.0	0.0	0.0	!(i < starts)	GT
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer#int#getMaxEvaluations#?#60	0.0	0.0	0.0	evaluations.getMaximalCount()!=0	_
org.apache.commons.math.util.MathUtils#boolean#equals#?,double,double,int#482	0.0	0.0	0.0	Double.doubleToLongBits(y)==xInt	_
org.apache.commons.math.util.FastMath#double#min#?,double,double#3224	0.0	0.0	0.0	(a <= b) ? a : (Double.isNaN(a + b) ? Double.NaN : b)<=0	_
