id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging	ori_OriginalStatisticalDebugging	pred_OriginalStatisticalDebugging	predWithReplace_OriginalStatisticalDebugging	tot_OriginalStatisticalDebugging
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	12.0	12.0	12.0	12.0
2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	9.0	9.0	9.0	9.0
3	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	84.0	1.0	82.0	1.0	1.0	1.0	1.0	65.0	2.0	2.0	2.0	65.0	94.0	94.0	94.0
4	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	10.0	1.0	1.0	1.0	10.0	10.0	10.0	10.0
5	6.0	6.0	6.0	6.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	1.0	6.0	6.0	6.0	4.0	26.0	5.0	5.0	5.0	26.0	3.0	3.0	3.0
6	8.0	10.0	13.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	34.0	21.0	34.0	22.0	8.0	10.0	13.0	3.0	116.0	5.0	5.0	5.0	116.0	2.0	2.0	2.0
7	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	35.0	1.0	1.0	1.0	35.0	6.0	6.0	6.0
8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	12.0	1.0	1.0	1.0	12.0	12.0	12.0	12.0
9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	12.0	12.0	12.0	12.0
10	7.0	2.0	2.0	4.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	7.0	2.0	2.0	3.0	51.0	2.0	2.0	2.0	51.0	76.0	76.0	76.0
11	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
12	1.0	6.0	6.0	1.0	12.0	14.0	17.0	16.0	3.0	8.0	9.0	7.0	111.0	68.0	111.0	111.0	1.0	6.0	6.0	1.0	50.0	17.0	17.0	17.0	50.0	17.0	17.0	17.0
13	6.0	7.0	10.0	7.0	6.0	7.0	10.0	8.0	6.0	7.0	10.0	6.0	6.0	7.0	10.0	3.0	6.0	7.0	10.0	3.0	21.0	8.0	8.0	8.0	21.0	21.0	21.0	21.0
