line	original_score	max_predicate_score	total	predicate	label
org.joda.time.Partial#int#size#?#309	0.0	0.0	0.0	(iTypes.length)>= 0	_
org.joda.time.Partial#?#Partial#?,DateTimeFieldType[],int[],Chronology#221	0.0	0.0	0.0	!(compare == 0)	_
org.joda.time.chrono.BaseChronology#void#validate#?,ReadablePartial,int[]#207	0.0	0.0	0.0	!(value > field.getMaximumValue(partial,values))	_
org.joda.time.field.BaseDurationField#int#compareTo#?,DurationField#149	0.0	0.0	0.0	!(thisMillis == otherMillis)	_
org.joda.time.Partial#Partial#with#?,DateTimeFieldType,int#459	0.0	0.0	0.0	newValues[i] >= index	GT
org.joda.time.field.PreciseDurationDateTimeField#int#getMinimumValue#?#151	0.0	0.0	0.0	(0)>= 0	_
org.joda.time.field.BaseDateTimeField#int#getMinimumValue#?,ReadablePartial#758	0.0	0.0	0.0	(getMinimumValue())== 0	_
org.joda.time.field.PreciseDurationField#long#getUnitMillis#?#63	0.0	0.0	0.0	(iUnitMillis)!= 0	_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#284	0.0	0.0	0.0	!(chrono == null)	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,ReadablePartial,int[]#818	0.0	0.0	0.0	(getMaximumValue(instant))>= 0	_
org.joda.time.field.BaseDateTimeField#int#getMinimumValue#?,ReadablePartial,int[]#772	0.0	0.0	0.0	(getMinimumValue(instant))== 0	_
org.joda.time.field.ZeroIsMaxDateTimeField#int#getMaximumValue#?,ReadablePartial,int[]#178	0.0	0.0	0.0	(getWrappedField().getMaximumValue(instant,values) + 1)!= 0	_
org.joda.time.field.ZeroIsMaxDateTimeField#int#getMaximumValue#?#148	0.0	0.0	0.0	(getWrappedField().getMaximumValue() + 1)!= 0	_
org.joda.time.field.ZeroIsMaxDateTimeField#int#getMinimumValue#?,ReadablePartial,int[]#138	0.0	0.0	0.0	(1)> 0	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,ReadablePartial#804	0.0	0.0	0.0	(getMaximumValue())>= 0	_
org.joda.time.base.AbstractPartial#int#indexOf#?,DateTimeFieldType#170	0.0	0.0	0.0	i < isize	_
org.joda.time.field.ZeroIsMaxDateTimeField#int#getMinimumValue#?#111	0.0	0.0	0.0	(1)>= 0	_
org.joda.time.field.PreciseDateTimeField#int#getMaximumValue#?#132	0.0	0.0	0.0	(iRange - 1)>= 0	_
