id	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging
1	5.0	6.0	6.0	6.0
2	10.0	10.0	10.0	10.0
3	1.0	1.0	1.0	1.0
4	-1.0	-1.0	-1.0	-1.0
5	2.0	2.0	2.0	2.0
7	44.0	44.0	44.0	44.0
8	5.0	5.0	5.0	5.0
9	-1.0	-1.0	-1.0	-1.0
10	9.0	9.0	9.0	9.0
11	25.0	25.0	25.0	25.0
12	-1.0	-1.0	-1.0	-1.0
13	-1.0	-1.0	-1.0	-1.0
14	-1.0	-1.0	-1.0	-1.0
15	2.0	2.0	2.0	2.0
16	4.0	6.0	6.0	6.0
17	-1.0	-1.0	-1.0	-1.0
18	54.0	54.0	54.0	54.0
19	23.0	23.0	23.0	23.0
20	-1.0	-1.0	-1.0	-1.0
21	12.0	1.0	1.0	1.0
22	-1.0	-1.0	-1.0	-1.0
25	8.0	8.0	8.0	8.0
26	3.0	3.0	3.0	3.0
27	3.0	3.0	3.0	3.0
28	28.0	28.0	28.0	28.0
29	-1.0	-1.0	-1.0	-1.0
30	11.0	11.0	11.0	11.0
31	26.0	1.0	1.0	1.0
32	57.0	57.0	57.0	57.0
33	29.0	29.0	29.0	29.0
34	-1.0	-1.0	-1.0	-1.0
35	2.0	2.0	2.0	2.0
36	2.0	3.0	3.0	3.0
37	8.0	3.0	3.0	3.0
38	13.0	13.0	13.0	13.0
39	22.0	22.0	22.0	22.0
40	13.0	13.0	13.0	13.0
41	-1.0	-1.0	-1.0	-1.0
42	28.0	28.0	28.0	28.0
43	16.0	11.0	11.0	11.0
44	40.0	40.0	40.0	40.0
45	4.0	4.0	4.0	4.0
46	9.0	1.0	1.0	1.0
47	9.0	1.0	1.0	1.0
48	17.0	17.0	17.0	17.0
49	13.0	13.0	13.0	13.0
50	16.0	16.0	16.0	16.0
51	17.0	17.0	17.0	17.0
52	7.0	7.0	7.0	7.0
53	-1.0	-1.0	-1.0	-1.0
55	-1.0	-1.0	-1.0	-1.0
56	10.0	10.0	10.0	10.0
57	4.0	4.0	4.0	4.0
58	-1.0	-1.0	-1.0	-1.0
59	2.0	2.0	2.0	2.0
60	8.0	8.0	8.0	8.0
61	1.0	1.0	1.0	1.0
63	-1.0	-1.0	-1.0	-1.0
64	10.0	1.0	1.0	1.0
65	16.0	16.0	16.0	16.0
68	9.0	1.0	1.0	1.0
69	17.0	26.0	26.0	26.0
70	-1.0	-1.0	-1.0	-1.0
71	22.0	30.0	30.0	30.0
72	5.0	5.0	5.0	5.0
73	5.0	5.0	5.0	5.0
74	52.0	52.0	52.0	52.0
75	6.0	6.0	6.0	6.0
76	23.0	4.0	4.0	4.0
78	9.0	9.0	9.0	9.0
79	2.0	2.0	2.0	2.0
80	14.0	14.0	14.0	14.0
81	7.0	7.0	7.0	7.0
82	23.0	23.0	23.0	23.0
83	24.0	24.0	24.0	24.0
84	9.0	11.0	11.0	11.0
85	8.0	8.0	8.0	8.0
86	10.0	1.0	1.0	1.0
87	23.0	23.0	23.0	23.0
88	23.0	23.0	23.0	23.0
89	-1.0	-1.0	-1.0	-1.0
90	1.0	1.0	1.0	1.0
91	3.0	3.0	3.0	3.0
92	2.0	2.0	2.0	2.0
93	1.0	1.0	1.0	1.0
94	1.0	1.0	1.0	1.0
95	9.0	9.0	9.0	9.0
96	4.0	4.0	4.0	4.0
97	4.0	4.0	4.0	4.0
98	4.0	4.0	4.0	4.0
99	2.0	1.0	1.0	1.0
100	13.0	13.0	13.0	13.0
101	-1.0	-1.0	-1.0	-1.0
102	9.0	12.0	12.0	12.0
103	5.0	5.0	5.0	5.0
104	-1.0	-1.0	-1.0	-1.0
105	2.0	2.0	2.0	2.0
106	5.0	5.0	5.0	5.0
top_1_3_5_10	5_17_29_48	13_25_36_49	13_25_36_49	13_25_36_49
percent	0.051_0.173_0.296_0.490	0.133_0.255_0.367_0.500	0.133_0.255_0.367_0.500	0.133_0.255_0.367_0.500
improve_drop	0_0	11_7	11_7	11_7
